@relation train

@attribute pclass {1,2,3}
@attribute sex {female,male}
@attribute age { "G1","G2","G3","G4","G5","G6","G7" }
@attribute sibsp numeric
@attribute parch numeric
@attribute fare numeric
@attribute embarked {C,Q,S}
@attribute decks { 'A','B','C','D','E','F','G','T' }
@attribute cabinNum { '0','1','10','101','102','103','104','106','11','110','111','118','12','121','123','124','125','126','128','14','148','15','16','17','18','19','2','20','21','22','23','24','25','26','28','3','30','31','32','33','34','35','36','37','38','39','4','40','41','42','44','45','46','47','48','49','5','50','52','54','56','58','6','63','65','67','68','69','7','70','71','73','77','78','79','8','80','82','83','85','86','87','9','90','91','92','93','94','95','99' }
@attribute survived {0,1}

@data
2,"female","G1",1,1,26,"S",?,?,1
3,"male","G4",0,0,7.2292,"C",?,?,0
3,"male","G2",1,1,7.2292,"C",?,?,0
3,"female","G4",0,2,22.3583,"C",?,?,1
3,"female","G4",0,0,8.6625,"S",?,?,0
2,"female","G1",0,2,26.25,"S",?,?,1
1,"male","G5",0,0,26.55,"S","B","38",0
1,"female","G4",0,0,106.425,"C",?,?,1
3,"male","G4",0,0,14.5,"S",?,?,0
1,"female","G3",0,2,49.5,"C","B","39",1
1,"female","G4",0,2,71,"S","B","22",1
3,"female","G1",4,2,31.275,"S",?,?,0
3,"female","G2",4,2,31.275,"S",?,?,0
2,"male","G4",1,0,26,"S",?,?,1
1,"male","G6",1,0,106.425,"C","C","86",0
1,"male","G7",0,0,26,"S",?,?,0
2,"female","G2",1,0,26,"S",?,?,1
2,"male","G4",0,0,13.8625,"C",?,?,1
3,"male","G4",1,1,20.525,"S",?,?,0
2,"male","G1",1,1,36.75,"S",?,?,1
1,"male","G2",0,2,110.8833,"C","C","70",1
2,"male","G3",0,0,26,"S",?,?,0
3,"male","G4",0,0,7.8292,"Q",?,?,0
3,"male","G3",0,0,7.225,"C",?,?,1
3,"female","G3",0,0,7.775,"S",?,?,1
1,"male","G7",0,0,26.55,"S",?,?,0
1,"female","G5",1,0,39.6,"C","A","16",1
1,"male","G4",0,0,227.525,"C",?,?,0
1,"female","G4",1,1,79.65,"S","E","67",1
3,"female","G4",1,0,17.4,"S",?,?,1
3,"male","G4",0,0,7.75,"Q",?,?,0
3,"male","G5",0,0,7.8958,"S",?,?,0
2,"male","G3",0,0,13.5,"S",?,?,0
3,"male","G4",0,0,8.05,"S",?,?,0
3,"female","G4",0,0,8.05,"S",?,?,0
3,"male","G3",2,0,24.15,"S",?,?,0
3,"male","G2",0,0,7.8958,"S",?,?,0
3,"female","G3",0,4,21.075,"S",?,?,0
3,"male","G4",0,0,7.2292,"C",?,?,0
3,"male","G4",0,0,7.8542,"S",?,?,1
2,"male","G7",0,0,10.5,"S",?,?,1
1,"female","G6",2,0,51.4792,"S","C","101",1
1,"male","G4",0,0,26.3875,"S","E","25",1
3,"female","G4",0,0,7.75,"Q",?,?,1
3,"male","G2",0,0,8.05,"S",?,?,0
3,"male","G2",0,0,14.5,"S",?,?,0
2,"female","G4",0,0,13,"S",?,?,1
1,"female","G4",1,0,55.9,"S","E","44",1
3,"female","G4",1,0,14.4583,"C",?,?,0
3,"male","G4",0,0,7.925,"S",?,?,1
2,"female","G3",1,1,30,"S",?,?,1
1,"female","G4",1,1,110.8833,"C","C","68",1
2,"male","G6",0,0,26,"S",?,?,0
1,"male","G4",0,0,40.125,"C","A","10",0
3,"male","G4",0,0,8.7125,"C",?,?,0
1,"female","G2",0,2,79.65,"S","E","68",1
2,"male","G5",0,0,15,"S",?,?,0
1,"male","G7",1,1,79.2,"C","B","41",1
3,"male","G3",0,0,8.05,"S",?,?,0
3,"male","G4",0,0,8.05,"S",?,?,0
3,"male","G4",0,0,7.125,"S",?,?,0
1,"female","G6",1,0,78.2667,"C","D","20",1
3,"male","G5",0,0,7.25,"S",?,?,0
3,"female","G4",0,2,7.75,"Q",?,?,0
2,"male","G4",1,0,26,"S",?,?,0
3,"male","G4",1,1,24.15,"S",?,?,0
2,"female","G4",0,0,33,"S",?,?,1
3,"male","G5",0,0,0,"S",?,?,0
3,"male","G4",0,0,7.225,"C",?,?,0
1,"male","G5",1,0,56.9292,"C","A","20",1
2,"female","G3",2,1,27,"S",?,?,1
3,"male","G4",0,0,7.8958,"S",?,?,0
1,"male","G4",0,0,42.4,"S",?,?,0
3,"male","G5",0,0,8.05,"S",?,?,0
1,"male","G4",0,0,26.55,"C",?,?,1
3,"male","G4",1,0,15.55,"S",?,?,0
3,"male","G4",0,0,7.8958,"S",?,?,0
1,"male","G3",0,0,30.5,"S",?,?,1
2,"female","G3",1,2,41.5792,"C",?,?,1
1,"female","G5",0,0,153.4625,"S","C","125",1
3,"female","G4",1,5,31.275,"S",?,?,0
3,"male","G4",0,0,7.05,"S",?,?,0
3,"female","G4",1,0,15.5,"Q",?,?,1
3,"male","G4",0,0,7.75,"Q",?,?,0
3,"male","G4",0,0,8.05,"S",?,?,0
2,"female","G3",1,2,65,"S",?,?,1
3,"male","G4",1,1,14.4,"S",?,?,0
3,"female","G3",1,0,16.1,"S",?,?,0
2,"female","G1",2,1,39,"S","F","4",1
2,"male","G3",0,0,10.5,"S",?,?,0
3,"male","G3",1,0,14.4542,"C",?,?,0
1,"male","G5",1,0,52.5542,"S","D","19",1
3,"male","G3",1,1,15.7417,"C",?,?,1
3,"male","G3",0,0,7.8542,"S",?,?,0
3,"male","G3",0,0,16.1,"S",?,?,0
1,"male","G7",0,0,32.3208,"S","D","50",0
2,"male","G6",0,0,12.35,"Q",?,?,0
1,"female","G3",0,0,77.9583,"S","D","9",1
3,"male","G3",0,0,7.8958,"S",?,?,0
3,"male","G4",0,0,7.7333,"Q",?,?,0
1,"male","G7",0,0,30,"S","A","23",1
3,"male","G6",0,0,7.0542,"S",?,?,0
1,"male","G4",0,0,30.5,"C","B","50",1
1,"male","G4",0,0,0,"S",?,?,0
3,"female","G1",3,2,27.9,"S",?,?,0
2,"female","G3",0,0,13,"S",?,?,1
3,"male","G4",0,0,7.925,"S",?,?,0
2,"male","G4",1,1,26.25,"S",?,?,0
3,"female","G5",0,5,39.6875,"S",?,?,0
3,"male","G4",1,0,16.1,"S",?,?,0
3,"male","G3",0,0,7.8542,"S",?,?,0
1,"female","G3",0,0,69.3,"C","B","35",1
3,"female","G1",3,2,27.9,"S",?,?,0
3,"male","G4",0,0,56.4958,"S",?,?,1
3,"female","G1",2,1,19.2583,"C",?,?,1
1,"male","G5",1,0,76.7292,"C","D","33",1
3,"male","G2",0,0,7.8958,"S",?,?,0
1,"male","G6",0,0,35.5,"C","A","26",1
3,"male","G4",0,0,7.55,"S",?,?,0
3,"female","G3",0,0,7.55,"S",?,?,1
3,"male","G4",0,0,7.8958,"S",?,?,0
2,"female","G2",0,1,23,"S",?,?,1
3,"male","G3",0,0,8.4333,"S",?,?,0
3,"female","G4",0,0,7.8292,"Q",?,?,1
3,"female","G2",0,0,6.75,"Q",?,?,0
2,"male","G3",2,0,73.5,"S",?,?,0
3,"male","G4",0,0,7.8958,"S",?,?,0
3,"female","G4",1,1,15.5,"Q",?,?,0
2,"male","G3",0,0,13,"S",?,?,0
1,"male","G6",0,2,113.275,"C","D","48",0
1,"male","G6",2,0,133.65,"S",?,?,1
3,"male","G5",0,0,7.225,"C",?,?,0
1,"male","G5",0,0,25.5875,"S","E","58",0
3,"male","G4",0,0,7.4958,"S",?,?,0
3,"male","G3",1,0,7.925,"S",?,?,1
2,"male","G4",2,0,73.5,"S",?,?,0
2,"male","G3",0,0,13,"S",?,?,0
3,"male","G4",0,0,7.775,"S",?,?,0
3,"male","G5",0,0,8.05,"S",?,?,0
1,"female","G4",1,0,52,"S","C","126",1
2,"female","G5",1,1,39,"S",?,?,1
1,"male","G4",1,0,52,"S","B","71",0
2,"male","G7",0,0,10.5,"S",?,?,0
2,"male","G4",0,0,13,"S",?,?,1
2,"male","G4",0,0,0,"S",?,?,0
3,"male","G2",0,0,7.775,"S",?,?,0
3,"male","G3",0,0,8.05,"S",?,?,0
3,"female","G2",0,0,9.8417,"S",?,?,1
3,"female","G5",1,6,46.9,"S",?,?,0
1,"male","G4",0,1,512.3292,"C","B",?,1
3,"female","G4",0,0,8.1375,"Q",?,?,0
1,"male","G3",0,0,76.7292,"C","D","49",1
3,"male","G3",0,0,9.225,"S",?,?,0
3,"male","G2",5,2,46.9,"S",?,?,0
2,"male","G7",1,1,39,"S",?,?,0
2,"male","G3",1,2,41.5792,"C",?,?,0
3,"male","G2",4,1,39.6875,"S",?,?,0
3,"male","G2",0,0,10.1708,"S",?,?,0
3,"male","G2",0,0,7.7958,"S",?,?,0
1,"female","G2",0,1,211.3375,"S","B","5",1
1,"male","G4",1,0,57,"S","B","20",1
3,"female","G1",0,1,13.4167,"C",?,?,1
3,"male","G4",0,0,56.4958,"S",?,?,1
3,"male","G3",0,0,7.225,"C",?,?,0
1,"male","G7",0,0,26.55,"S",?,?,0
2,"male","G6",0,0,13.5,"S",?,?,0
3,"male","G5",0,0,8.05,"S",?,?,0
3,"female","G4",0,0,7.7333,"Q",?,?,1
1,"male","G5",1,1,110.8833,"C","C","68",0
3,"male","G5",0,0,7.65,"S","F",?,0
1,"female","G2",1,0,227.525,"C","C",?,1
1,"male","G4",0,0,26.2875,"S","E","24",1
3,"female","G2",0,1,14.4542,"C",?,?,0
3,"male","G3",0,0,7.7417,"Q",?,?,0
3,"male","G3",1,0,7.8542,"S",?,?,0
2,"male","G4",0,0,26,"S",?,?,0
2,"female","G5",0,0,13.5,"S",?,?,1
1,"male","G5",0,0,26.2875,"S","E","24",1
1,"female","G3",0,0,151.55,"S",?,?,1
3,"male","G4",1,1,15.2458,"C",?,?,1
1,"female","G3",0,0,49.5042,"C","C","90",1
1,"male","G4",0,0,26.55,"S","C","124",0
1,"male","G5",1,0,52,"S","C","126",1
3,"male","G3",0,0,9.4833,"S",?,?,0
2,"male","G6",0,0,13,"S",?,?,0
3,"male","G2",0,0,7.65,"S","F",?,0
1,"female","G4",0,0,227.525,"C","C","45",1
2,"female","G3",0,0,10.5,"S","E","101",1
3,"male","G4",0,0,15.5,"Q",?,?,0
3,"male","G4",0,0,7.775,"S",?,?,0
2,"female","G1",0,1,33,"S",?,?,1
3,"male","G2",1,0,7.0542,"S",?,?,0
2,"male","G4",0,0,13,"S",?,?,0
2,"male","G6",0,0,13,"S",?,?,0
1,"male","G3",1,0,53.1,"S","E","8",1
3,"male","G3",0,0,8.6625,"S",?,?,0
2,"female","G4",3,0,21,"S",?,?,1
3,"female","G4",0,0,7.7375,"Q",?,?,1
2,"male","G3",1,0,26,"S",?,?,0
3,"female","G3",1,0,7.925,"S",?,?,0
1,"female","G3",0,0,211.3375,"S","B","5",1
3,"male","G2",0,0,18.7875,"C",?,?,0
2,"male","G4",0,0,0,"S",?,?,0
2,"male","G3",0,0,13,"S",?,?,0
2,"male","G3",0,0,13,"S",?,?,0
3,"male","G3",0,0,16.1,"S",?,?,0
3,"female","G5",1,3,34.375,"S",?,?,0
1,"male","G4",0,0,512.3292,"C","B","101",1
3,"male","G4",0,0,7.8958,"S",?,?,0
3,"male","G4",0,0,7.8958,"S",?,?,0
1,"male","G4",0,0,30,"S","D","45",1
1,"male","G4",1,0,78.85,"S","C","46",0
1,"female","G3",2,2,262.375,"C","B",?,1
3,"male","G3",1,0,16.1,"S",?,?,0
3,"male","G4",0,0,7.925,"S",?,?,1
1,"male","G7",1,1,71,"S","B","22",0
3,"male","G2",1,1,20.25,"S",?,?,0
2,"female","G4",0,0,13,"S",?,?,1
1,"male","G2",1,0,53.1,"S","D","30",0
3,"male","G4",0,0,7.75,"Q",?,?,0
2,"female","G1",1,1,23,"S",?,?,1
3,"male","G1",0,1,12.475,"S","E","121",1
3,"male","G4",0,0,9.5,"S",?,?,0
3,"male","G3",0,0,7.8958,"S",?,?,0
2,"female","G5",1,2,65,"S",?,?,1
2,"male","G1",1,1,14.5,"S",?,?,1
3,"male","G3",0,0,7.7958,"S",?,?,0
2,"male","G2",0,0,11.5,"S",?,?,0
3,"male","G4",0,0,8.05,"S",?,?,0
1,"female","G4",0,0,86.5,"S","B","77",1
3,"male","G4",0,0,14.5,"S",?,?,0
3,"male","G5",0,0,7.125,"S",?,?,0
3,"male","G3",0,0,7.2292,"C",?,?,1
1,"female","G4",1,2,120,"S","B",?,1
3,"male","G2",0,0,7.775,"S",?,?,0
1,"female","G6",1,0,77.9583,"S","D","11",1
1,"male","G4",0,0,39.6,"C",?,?,0
3,"female","G4",0,0,7.75,"Q",?,?,0
3,"male","G4",1,0,24.15,"Q",?,?,0
3,"male","G4",0,0,8.3625,"S",?,?,0
3,"male","G3",0,0,9.5,"S",?,?,0
3,"male","G5",0,0,7.8542,"S",?,?,0
2,"female","G6",0,0,10.5,"S","E","77",0
3,"male","G4",0,0,7.225,"C",?,?,0
2,"female","G6",1,3,23,"S",?,?,1
3,"male","G2",0,0,7.75,"S",?,?,0
3,"male","G4",0,0,7.75,"Q","F","38",0
3,"female","G1",0,0,12.475,"S",?,?,1
3,"male","G4",0,0,7.7375,"Q",?,?,0
1,"female","G5",0,1,211.3375,"S","B","3",1
3,"female","G2",0,0,7.2292,"C",?,?,1
1,"female","G2",1,0,57,"S","B","20",1
1,"male","G3",0,0,30,"S","D","6",0
3,"male","G4",1,2,23.45,"S",?,?,0
3,"male","G3",0,0,7.05,"S",?,?,0
3,"male","G3",0,0,7.25,"S",?,?,0
3,"female","G2",0,0,7.4958,"S",?,?,1
3,"male","G1",4,1,29.125,"Q",?,?,0
3,"male","G1",1,2,20.575,"S",?,?,1
1,"male","G5",0,0,79.2,"C","B",?,0
3,"male","G4",0,0,7.75,"Q",?,?,0
2,"male","G2",0,0,26,"S",?,?,0
3,"female","G4",8,2,69.55,"S",?,?,0
1,"male","G4",0,0,30.6958,"C",?,?,0
3,"male","G3",0,0,7.8958,"S",?,?,0
2,"male","G4",0,0,13,"S",?,?,0
1,"female","G5",0,0,25.9292,"S","D","17",1
3,"female","G4",0,0,8.6833,"S",?,?,1
3,"male","G4",0,0,7.2292,"C",?,?,0
3,"female","G4",1,1,24.15,"S",?,?,0
2,"male","G4",0,0,13,"S",?,?,0
2,"female","G4",1,1,26.25,"S",?,?,1
1,"male","G2",1,2,120,"S","B",?,1
3,"male","G1",0,1,8.5167,"C",?,?,1
3,"male","G3",0,0,6.975,"S",?,?,1
3,"male","G4",0,0,7.775,"S",?,?,0
1,"male","G4",0,0,0,"S","A","36",0
3,"female","G2",0,0,7.775,"S",?,?,0
2,"male","G4",0,0,13,"S",?,?,0
1,"female","G4",1,0,53.1,"S","E","8",1
3,"male","G3",0,0,7.8875,"S",?,?,0
3,"male","G4",0,0,24.15,"S",?,?,0
2,"male","G4",0,0,10.5,"S",?,?,0
3,"female","G1",4,2,31.275,"S",?,?,0
3,"male","G4",0,0,8.05,"S",?,?,0
1,"male","G4",0,0,0,"S","B","102",0
3,"female","G3",0,0,7.925,"S",?,?,0
2,"male","G4",1,1,37.0042,"C",?,?,0
3,"male","G5",0,0,6.45,"S",?,?,0
3,"male","G2",3,2,27.9,"S",?,?,0
1,"female","G6",1,1,93.5,"S","B","69",1
3,"male","G3",0,0,8.6625,"S",?,?,1
1,"male","G4",0,0,0,"S",?,?,0
3,"female","G3",0,1,12.475,"S","E","121",1
3,"male","G1",4,1,39.6875,"S",?,?,0
3,"male","G4",0,0,6.95,"Q",?,?,0
3,"male","G4",0,0,56.4958,"S",?,?,0
2,"male","G1",0,2,37.0042,"C",?,?,1
3,"male","G4",0,0,7.75,"Q",?,?,1
1,"female","G7",0,0,80,?,"B","28",1
3,"female","G2",1,0,14.4542,"C",?,?,1
2,"male","G1",1,1,18.75,"S",?,?,1
3,"male","G4",0,0,7.2292,"C",?,?,0
3,"male","G3",0,0,7.8542,"S",?,?,0
3,"male","G2",0,0,8.3,"S",?,?,0
1,"female","G4",1,1,83.1583,"C","E","49",1
3,"male","G3",0,0,8.6625,"S",?,?,0
3,"male","G4",0,0,8.05,"S",?,?,0
3,"male","G4",0,0,56.4958,"S",?,?,1
1,"male","G4",0,0,29.7,"C","C","47",1
3,"male","G3",0,0,7.925,"S",?,?,0
2,"male","G2",0,0,10.5,"S",?,?,0
1,"female","G4",0,0,31,"C",?,?,1
3,"male","G4",0,0,6.4375,"C",?,?,0
3,"male","G2",0,0,8.6625,"S",?,?,0
3,"male","G5",0,0,7.55,"S",?,?,0
3,"male","G4",8,2,69.55,"S",?,?,0
3,"male","G4",0,0,7.8958,"C",?,?,0
2,"male","G3",0,1,33,"S",?,?,0
1,"female","G4",1,0,89.1042,"C","C","92",1
3,"male","G1",4,2,31.275,"S",?,?,0
3,"male","G7",0,0,7.775,"S",?,?,0
3,"female","G1",1,1,15.2458,"C",?,?,0
1,"female","G2",0,1,39.4,"S","D","28",1
2,"female","G5",1,0,26,"S",?,?,0
3,"female","G2",0,1,9.35,"S",?,?,1
1,"female","G5",1,1,164.8667,"S",?,?,1
1,"male","G6",0,0,26.55,"S","E","17",1
3,"female","G3",0,3,19.2583,"C",?,?,1
3,"male","G4",0,0,7.2292,"C",?,?,0
3,"male","G5",2,0,14.1083,"S",?,?,0
2,"male","G3",1,0,11.5,"S",?,?,0
1,"female","G5",0,0,25.9292,"S","D","17",1
3,"female","G4",8,2,69.55,"S",?,?,0
2,"male","G3",0,0,13,"S",?,?,0
2,"female","G5",0,0,13,"S",?,?,1
2,"female","G3",1,0,13.8583,"C",?,?,1
1,"male","G4",0,0,50.4958,"S","A","24",0
3,"male","G4",0,0,9.5,"S",?,?,0
3,"male","G1",1,1,11.1333,"S",?,?,1
3,"male","G3",0,0,7.8958,"S",?,?,0
1,"female","G5",1,1,52.5542,"S","D","35",1
1,"male","G4",0,0,5,"S","B",?,0
3,"male","G5",0,0,9,"S",?,?,0
2,"female","G3",1,0,24,"C",?,?,1
3,"female","G2",0,0,7.225,"C",?,?,1
3,"male","G3",0,0,9.8458,"S",?,?,0
3,"male","G2",0,0,7.8958,"S",?,?,0
3,"male","G4",0,0,7.8958,"S",?,?,0
1,"female","G6",0,1,83.1583,"C","C","50",1
2,"female","G3",0,1,26,"S",?,?,1
3,"male","G4",0,0,7.8958,"S",?,?,0
3,"female","G3",0,0,10.5167,"S",?,?,0
2,"male","G3",0,0,10.5,"S",?,?,0
3,"male","G3",0,0,7.05,"S",?,?,0
3,"female","G4",0,5,29.125,"Q",?,?,0
2,"male","G3",0,0,13,"S",?,?,0
1,"female","G2",0,0,30,"S","B","42",1
3,"female","G4",1,2,23.45,"S",?,?,0
1,"male","G3",0,0,30,"C","C","148",1
3,"male","G4",0,0,7.75,"Q",?,?,0
